,,,,Cultivated kelp,,,,,,,Wild kelp,,,
,,,,This study,,,,,Davis et al. (2023),,Schenk et al. (in revision),Park et al. (in revision),Lemay et al. (2018),King et al. 92023)
,,,,sori pre-iodine,sori post-iodine,spores,kelp spool,outplanted sporphytes,kelp spool,outplnated sporophyte,Sporphytes,Sporphytes,Sporphytes,Sporphytes
Phylum,Order,Genus,ASV ID,n=9,n=17,n=4,n=44,n=30,n=11,n=43,n=313,n=93,n=26,n=59
Proteobacteria,Alteromonadales,Colwellia,ASV12,0.11 (0),0.35 (0.01),0.75 (0.01),0.84 (0.02),0.43 (0),0.18 (0),0.44 (0),0.27 (0),0.1 (0),0 (0),0.02 (0)
Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,ASV136,0.11 (0),0.12 (0),0.25 (0),0.93 (0.01),0.57 (0),0.45 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
Proteobacteria,Alteromonadales,Paraglaciecola,ASV14,0.44 (0),0.41 (0),1 (0.02),1 (0.02),0.23 (0),1 (0.07),0 (0),0.07 (0),0 (0),0.46 (0),0 (0)
Actinobacteriota,Micrococcales,Parafrigoribacterium,ASV15,0.44 (0),0.82 (0.01),1 (0.01),1 (0.08),0.67 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,ASV156,0 (0),0.06 (0),0 (0),0.36 (0),0.8 (0),0 (0),0 (0),0 (0),0 (0),0 (0),0 (0)
Proteobacteria,Alteromonadales,Alteromonas,ASV17,0.44 (0.01),0.35 (0),0.5 (0),1 (0.03),0.57 (0.01),0.82 (0),0 (0),0.22 (0),0.01 (0),0.12 (0),0.24 (0)
Verrucomicrobiota,Verrucomicrobiales,Rubritalea,ASV18,0.44 (0.01),0.12 (0),0 (0),0.05 (0),0.93 (0.06),0 (0),0.93 (0.07),0.57 (0.01),0.76 (0.02),0.65 (0.02),0.25 (0)
Proteobacteria,Rhodobacterales,Sulfitobacter,ASV19,0.67 (0),0.65 (0.01),0.75 (0.01),0.93 (0.04),0.6 (0),0.45 (0.01),0.02 (0),0.15 (0),0.27 (0),0.08 (0),0.2 (0)
